Date,Open,High,Low,Close,Volume
2025-05-20,470.56,471.32,467.73,468.91,93239160
2025-05-21,468.91,469.6,468.41,469.39,54990600
2025-05-22,470.0,471.79,469.8,471.12,38051647
2025-05-23,470.55,473.51,469.05,472.73,16991938
2025-05-26,473.63,474.84,472.71,474.4,87730269
2025-05-27,474.44,475.67,471.95,473.06,52420228
2025-05-28,473.04,473.7,471.16,471.98,44271230
2025-05-29,472.52,474.94,471.56,474.37,37083923
2025-05-30,474.08,475.25,473.42,474.16,51727438
2025-06-02,473.99,476.75,473.62,475.29,74289509
2025-06-03,475.15,476.2,474.21,475.09,48190878
2025-06-04,474.28,475.44,471.4,472.28,70692837
2025-06-05,472.65,475.22,472.08,475.04,62407574
2025-06-06,475.97,477.49,473.68,475.05,52785919
2025-06-09,474.32,476.75,473.52,476.19,74347776
2025-06-10,475.46,476.31,474.87,475.7,39033512
2025-06-11,475.53,476.3,473.02,474.29,78711256
2025-06-12,474.21,475.88,472.78,474.61,68993501
2025-06-13,475.49,477.33,474.08,477.17,37125045
2025-06-16,477.76,479.13,477.44,477.95,67699860
2025-06-17,477.67,478.99,475.24,475.99,62988355
2025-06-18,476.63,479.22,476.52,477.98,48620546
2025-06-19,477.09,478.13,476.08,477.22,81276255
2025-06-20,476.48,479.25,475.39,478.81,25597919
2025-06-23,478.96,479.31,476.72,477.99,83558050
2025-06-24,478.05,479.35,474.65,476.21,36940687
2025-06-25,476.96,478.43,475.34,475.74,50322379
2025-06-26,476.43,478.09,475.33,477.74,79626836
2025-06-27,477.07,477.75,476.55,477.6,79629667
2025-06-30,476.61,477.26,474.62,474.82,26958904
2025-07-01,474.87,476.01,472.24,472.98,25765636
2025-07-02,473.16,474.67,471.09,472.68,34328233
2025-07-03,473.34,474.83,470.6,471.39,76715387
2025-07-04,471.61,475.0,471.47,473.59,36727617
2025-07-07,472.84,474.3,471.97,472.11,68804882
2025-07-08,471.83,472.56,469.79,470.16,56681128
2025-07-09,469.79,471.46,469.45,470.26,30400657
2025-07-10,470.01,470.42,468.17,469.64,81247485
2025-07-11,469.38,469.83,467.1,467.87,37105374
2025-07-14,468.72,469.7,467.64,469.03,62649689
2025-07-15,468.15,470.83,466.63,469.61,63284764
2025-07-16,469.95,471.12,468.19,469.28,26754425
2025-07-17,470.19,473.4,469.2,472.67,18170285
2025-07-18,473.3,476.91,472.06,475.85,30042394
2025-07-21,475.34,476.34,474.52,474.76,86648798
2025-07-22,474.65,475.03,473.52,474.78,80351519
2025-07-23,474.26,476.43,473.94,475.16,81182106
2025-07-24,474.73,476.28,473.69,475.41,35687159
2025-07-25,475.25,478.58,473.89,477.14,22947801
2025-07-28,476.76,478.97,475.85,477.74,51607909
2025-07-29,476.85,479.91,476.26,478.97,17821866
2025-07-30,479.09,482.0,478.1,480.56,41962742
2025-07-31,479.79,482.5,478.59,482.32,44669991
2025-08-01,483.08,483.67,481.31,482.74,66519038
2025-08-04,481.86,482.33,479.82,481.37,47421411
2025-08-05,480.97,482.42,479.36,479.7,77228805
2025-08-06,480.63,481.52,479.08,479.25,89476374
2025-08-07,479.71,480.6,479.12,479.36,23484737
2025-08-08,478.68,478.86,477.2,477.37,90874263
2025-08-11,477.38,477.66,475.38,475.8,76045765
